        Res  : IGHV4-34*10         IGHD3-22*01         IGHJ5*01            

S172    Pred : IGHV7-4-1*01        IGHD3-10*01         IGHJ1*01            
        Res  : IGHV7-4-1*01        IGHD3-10*01         IGHJ1*01            

S173    Pred : IGHV3-30-3*01       IGHD5-12*01         IGHJ6*03            
        Res  : IGHV3-30-3*01       IGHD5-12*01         IGHJ6*03            

S174    Pred : IGHV1/OR21-1*01     IGHD2-2*01          IGHJ4*03            
        Res  : IGHV1/OR21-1*01     IGHD2-2*01          IGHJ4*03            

S175    Pred : IGHV1-69-2*01       IGHD3-22*01         IGHJ3*02            
        Res  : IGHV1-69-2*01       IGHD3-22*01         IGHJ3*02            

S176    Pred : IGHV3-15*04         IGHD2-15*01         IGHJ4*02            
        Res  : IGHV3-15*04         IGHD4-11*01         IGHJ4*02            

S177    Pred : IGHV2-26*01         IGHD2-8*01          IGHJ5*02            
        Res  : IGHV2-26*01         IGHD2-8*01          IGHJ5*02            

S178    Pred : IGHV1-2*01          IGHD1-1*01          IGHJ1*01            
        Res  : IGHV1-2*01          IGHD1-20*01         IGHJ1*01            

S179    Pred : IGHV1-2*01          IGHD6-25*01         IGHJ1*01            
        Res  : IGHV1-2*01          IGHD6-25*01         IGHJ1*01            

S180    Pred : IGHV3-33*01         IGHD2-21*02         IGHJ1*01            
        Res  : IGHV3-33*01         IGHD2/OR15-2a*01    IGHJ1*01            

S181    Pred : IGHV3/OR16-6*02     IGHD4-23*01         IGHJ3*01            
        Res  : IGHV3/OR16-6*02     IGHD2-8*02          IGHJ3*01            

S182    Pred : IGHV3-35*01         IGHD1-14*01         IGHJ6*04            
        Res  : IGHV3-35*01         IGHD1-14*01         IGHJ6*04            

S183    Pred : IGHV1-46*02         No genes            IGHJ6*04            
        Res  : IGHV1-46*02         IGHD6-13*01         IGHJ6*04            

S184    Pred : IGHV3-74*01         IGHD6-6*01          IGHJ5*02            
        Res  : IGHV3-74*03         IGHD6-6*01          IGHJ5*02            

S185    Pred : IGHV1-58*02         IGHD3-10*02         IGHJ6*03            
